Date Sample Collected,Bird ID,Site,Date processing started,Experimenter,BPW Incubation,Chromo Incubation,Positive?,"Salm, E.Coli or Both?",McConkey Incubation,SalmPositiveQuads,Slant Incubation,SlantLocation,ViralResults,SalmResults,Notes
19-Sep-25,3231-05203,204 Lee Rd,30-Sep-25,KM,9/30/25 8:55,10/1/25 14:40,N,NA,NA,NA,NA,,,,"Need to redo - Incubator = 35C. Checked 2 Oct, very little growth, left for another day. 3 Oct, still very little growth."
28-Aug-25,3010-60031,Evergreen,30-Sep-25,KM,9/30/25 8:55,10/1/25 14:40,N,NA,NA,NA,NA,,,,"Need to redo - Incubator = 35C. Checked 2 Oct, very little growth, left for another day. 3 Oct, still very little growth."
28-Aug-25,3011-99775,Evergreen,30-Sep-25,KM,9/30/25 8:55,10/1/25 14:40,N,NA,NA,NA,NA,,,,"Need to redo - Incubator = 35C. Checked 2 Oct, very little growth, left for another day. 3 Oct, still very little growth."
28-Aug-25,3011-99778,Evergreen,30-Sep-25,KM,9/30/25 8:55,10/1/25 14:40,Y,E.Coli,NA,NA,10/6/25 9:30,,,,"Need to redo - Incubator = 35C. Checked 2 Oct, very little growth, left for another day. 3 Oct, still very little growth."
19-Sep-25,3171-38502,204 Lee Rd,30-Sep-25,KM,9/30/25 8:55,10/1/25 14:40,N,NA,NA,NA,NA,,,,"Need to redo - Incubator = 35C. Checked 2 Oct, very little growth, left for another day. 3 Oct, still very little growth."
3-Oct-25,3171-38503,Fisheries 2,4-Oct-25,KM,10/4/25 14:50,10/6/25 9:30,Y,Both,7-Oct-25,ALL,E. Coli = 7 Oct 2025 11:45; Salm. = 8 Oct 2025 13:47,e.coli: fridge box; salm: fridge box,,,Paper data sheet
3-Oct-25,3231-05204,Fisheries 2,4-Oct-25,KM,10/4/25 14:50,10/6/25 9:30,N,NA,,,,,,,Paper data sheet
7-Jul-25,3011-99773,Ogletree,4-Oct-25,KM,10/4/25 14:50,10/6/25 9:30,N,NA,,,,,,,Paper data sheet
12-Jun-25,3011-99793,Paint Rock,4-Oct-25,KM,10/4/25 14:50,10/6/25 9:30,Y,E.Coli,,,,,,,Paper data sheet
10-Jul-25,3011-99772,Ogletree,4-Oct-25,KM,10/4/25 14:50,10/6/25 9:30,N,NA,,,,,,,Paper data sheet
8-Jul-25,3011-99770,Fisheries 1,14-Oct-25,GS,10/14/25 13:05,10/15/25 14:45,N,NA,NA,NA,NA,,,,
9-Oct-25,3241-88102,WW,14-Oct-25,APG,10/14/25 14:25,10/15/25 17:30,N,NA,NA,NA,NA,,,,
9-Oct-25,3171-38526,WW,14-Oct-25,APG,10/14/25 14:25,10/15/25 17:30,Y,E.Coli,NA,NA,17-Oct-25,e.coli: fridge box,,,
9-Oct-25,3241-88103,WW,14-Oct-25,APG,10/14/25 14:25,10/15/25 17:30,Y,E.Coli,NA,NA,17-Oct-25,e.coli: fridge box,,,
25-Jun-25,3011-99799,Shadowwood,14-Oct-25,GS,14-Oct-25,10/15/25 14:45,Y,E.Coli,NA,NA,17-Oct-25,e.coli: fridge box,,,
8-Jul-25,3011-99800,Fisheries 1,14-Oct-25,GS,14-Oct-25,10/15/25 14:45,Y,Salm,REDO,REDO,REDO,REDO,,,REDO
10-Jul-25,3010-60028,Olgetree,14-Oct-25,AS,14-Oct-25,10/15/25 14:45,N,NA,NA,NA,NA,,,,
12-Jun-25,3171-38518,Paint Rock,14-Oct-25,AS,14-Oct-25,10/15/25 14:45,Y,E.Coli,NA,NA,17-Oct-25,,,,
13-Jun-25,3171-38520,Paint Rock,19-Oct-25,AG,10/19/25 11:44,10/20/25 12:30,Y,Both,10/21/25 17:35,ALL,10/22/25 21:10,"E. coli: fridge box, Salm: Incubator",,,very small colonies
13-Jun-25,1352-66743,Paint Rock,19-Oct-25,AG,10/19/25 11:44,10/20/25 12:30,Y,Both,10/21/25 17:35,ALL,10/22/25 21:10,"E. coli: fridge box, salm:incubator ",,,small/no colonies
18-Jun-25,3011-99798,Kreher,19-Oct-25,AG,10/19/25 11:44,10/20/25 12:30,N,NA,NA,NA,NA,NA,,,no growth
12-Jun-25,3171-38516,Paint Rock,19-Oct-25,AG,10/19/25 11:44,10/20/25 12:30,Y,Both,10/21/25 17:35,ALL,10/22/25 21:10,"E. coli: fridge box, salm:incubator ",,,
18-Jun-25,3010-60025,Kreher,19-Oct-25,AG,10/19/25 11:44,10/20/25 12:30,N,NA,NA,NA,NA,NA,,,no growth
8-Jul-25,3011-99771,Fisheries 1,20-Oct-25,GS,10/20/25 12:15,10/21/25 19:00,N,NA,NA,NA,NA,NA,,,no growth
10-Jul-25,1352-66747,Ogletree,20-Oct-25,GS,10/20/25 12:15,10/21/25 19:00,Y,Both,10/22/25 21:10,,,E.coli: incubator,,,hard to find separate colonies
13-Jun-25,1352-66744,Paint Rock,20-Oct-25,GS,10/20/25 12:15,10/21/25 19:00,Y,Both,10/22/25 21:10,,,E. coli: Incubator,,,
10-Jul-25,3011-99774,Ogletree,20-Oct-25,GS,10/20/25 12:15,10/21/25 19:00,Y,E.Coli,NA,,10/22/25 21:10,E. coli: Incubator,,,
12-Jun-25,3171-38517,Paint Rock,20-Oct-25,GS,10/20/25 12:15,10/21/25 19:00,Y,Both,10/22/25 21:10,,,E. coli: Incubator,,,small colonies
17-Jul-25,1352-66748,1011LeeRd,,,,,Y,Both,,,,,,,
13-Jun-25,3231-05217,Paint Rock,,,,,Y,Both,,,,,,,
8-Jul-25,3011-99800,Fisheries 1,,,,,Y,Salm,,,,,,,
12-Jun-25,3171-38514,Paint Rock,,,,,Y,Both,,,,,,,
12-Jun-25,3231-05216,Paint Rock,,,,,N,NA,,,,,,,
12-Jun-25,3011-99795,Paint Rock,,,,,N,NA,,,,,,,
