Experimenter,Bird ID,Date Sample Collected,Date processing started,Positive?,"Salm., E.Coli or Both?",Test,Notes,,Location,Dates Processed,Amount sample,,,
AF,Evergreen Dr.,23-Oct-24,,Y,E.Coli,Chromo Plate,green colonies formed ,,Ani's lab,"9-Sept-2024, 10-Sept-2024",0.046,,,
AF,1352-66719,30-Oct-24,,Y,E.Coli,Chromo Plate,Very developed dark green colonies ,,Ani's lab,"9-Sept-2024, 10-Sept-2024, 12-Sept-24",0.046,,,
GS,3011-99763,5-Feb-25,,Y,E.Coli,Chromo Plate,,,Ani's lab,,0.08,,,
KM,3011-99796,12-Jun-25,3-Jul-25,Y,E.Coli,Chromo Plate,,,Ani's lab,,0.08,,,
KM,1352-66745,23-Jun-25,3-Jul-25,Y,E.Coli,Chromo Plate,,,Ani's lab,,0.06,,,
AF,1352-66702,12-May-23,,Y,Salm,Chromo Plate,,,Cornell,,?,,,
AF,1352-66703,12-May-23,,Y,Salm,Chromo Plate,,,Cornell,,?,,,
KM,3011-99747,19-Aug-24,,Y,Salm,Chromo Plate,Dark purple or brown colonies,,Missing,,,,,
KM,3011-99746,19-Aug-24,,Y,Salm,Chromo Plate,Dark purple or brown colonies,,Cornell,,,,,
KM,BRTH,19-Aug-24,,Y,Salm,Chromo Plate,Dark purple or brown colonies,,Cornell,,,,,
AF,Shadowwood Ln,29-Oct-24,,Y,Salm,Chromo Plate,pink colonies formed,,Cornell,,,,,
KM,3010-60024,13-Jun-25,3-Jul-25,Y,Salm,Chromo Plate,,,Cornell,,,,,
KM,3171-38523,18-Jun-25,3-Jul-25,Y,Salm,Chromo Plate,,,Cornell,,,,,
KM,1352-66746,25-Jun-25,3-Jul-25,Y,Salm,Chromo Plate,,,Cornell,,,,,
AF,1352-66701,12-May-23,,N,,Campylobacter,,Poo tube mislabeled as 1352-66071,,,,,,
AF,1352-66702,12-May-23,,N,,Campylobacter,,,,,,,,
AF,1352-66703,12-May-23,,N,,Campylobacter,,,,,,,,
GS,3010-60001,25-Mar-24,,N,,Campylobacter,,,,,,,,
GS,3011-99704,16-Apr-24,,N,,Campylobacter,,,,,,,,
GS,3011-99705,16-Apr-24,,N,,Campylobacter,,,,,,,,
GS,1352-66705,17-Apr-24,,N,,Campylobacter,,,,,,,,
AF,3011-99706,17-Apr-24,,N,,Campylobacter,,,,,,,,
AF,3011-99707,17-Apr-24,,N,,Campylobacter,,,,,,,,
GS,3010-60002,19-Apr-24,,N,,Campylobacter,,,,,,,,
GS,3011-99708,19-Apr-24,,N,,Campylobacter,,,,,,,,
GS,1352-66709,11-Jun-24,,N,,Campylobacter,,,,,,,,
GS,3011-99709,11-Jun-24,,N,,Campylobacter,,,,,,,,
GS,3011-99710,11-Jun-24,,N,,Campylobacter,,,,,,,,
AF,3011-99711,12-Jun-24,,N,,Campylobacter,,,,,,,,
AF,3010-60003,13-Jun-24,,N,,Campylobacter,"No second line, but color staggering- have enough sample to perforn a second test if needed",,,,,,,
AF,3011-99713,13-Jun-24,,N,,Campylobacter,,,,,,,,
AF,3011-99715,14-Jun-24,,N,,Campylobacter,,,,,,,,
GS,3011-99714,14-Jun-24,,N,,Campylobacter,,,,,,,,
AF,3011-99722,19-Jun-24,,N,,Campylobacter,,,,,,,,
AF,3011-99729,15-Jul-24,,N,,Campylobacter,,,,,,,,
AF,3011-99728,15-Jul-24,,N,,Campylobacter,,,,,,,,
GS,3011-99723,15-Jul-24,,N,,Campylobacter,,,,,,,,
AF,3011-99727,15-Jul-24,,N,,Campylobacter,,,,,,,,
AF,3011-99726,15-Jul-24,,N,,Campylobacter,,,,,,,,
GS,1352-66712,16-Jul-24,,N,,Campylobacter,,,,,,,,
KM,1352-66713,24-Jul-24,,N,,Campylobacter,,,,,,,,
GS,3011-99733,24-Jul-24,,N,,Campylobacter,,,,,,,,
GS,3011-99742,6-Aug-24,,N,,Campylobacter,ID and Date wrong on photo ,,,,,,,
GS,1352-66714,13-Aug-24,,N,,Campylobacter,,,,,,,,
KM,3011-99747,19-Aug-24,,N,,Campylobacter,"Messed up the timing after adding fecal solution, but control line still showed up",,,,,,,
KM,3011-99746,19-Aug-24,,N,,Campylobacter,,,,,,,,
KM,3011-99748,19-Aug-24,,N,,Campylobacter,,,,,,,,
KM,BRTH,19-Aug-24,,N,,Campylobacter,,,,,,,,
AF,3011-99749,21-Aug-24,,N,,Campylobacter,,,,,,,,
AF,3011-99754,29-Aug-24,,N,,Campylobacter,,,,,,,,
AF,Evergreen Dr.,2-Oct-24,,N,,Campylobacter,,,,,,,,
AF,Shadowwood Ln,3-Oct-24,,N,,Campylobacter,,,,,,,,
AF,Lee Rd,16-Oct-24,,N,,Campylobacter,,,,,,,,
AF,Evergreen Dr.,23-Oct-24,,N,,Campylobacter,,,,,,,,
AF,Shadowwood Ln,29-Oct-24,,N,,Campylobacter,,,,,,,,
AF,1352-66719,30-Oct-24,,N,,Campylobacter,,,,,,,,
GS,126 Alice St,24-Sep-24,,N,,Campylobacter,,,,,,,,
GS,3011-99704,16-Apr-24,,N,None,Chromo Plate,"Reswabbed and plate back in incubator, no colonies still",,Ani's lab,,,,,
GS,3011-99705,16-Apr-24,,N,None,Chromo Plate,"Reswabbed and plate back in incubator, Blue-green colonies = E. coli",,Ani's lab,,,,,
GS,1352-66705,17-Apr-24,,N,None,Chromo Plate,,,Ani's lab,,,,,
AF,3011-99707,17-Apr-24,,N,None,Chromo Plate,No colonies,,Ani's lab,,,,,
GS,3010-60002,19-Apr-24,21-Nov-24,N,None,Chromo Plate,BPW tubes in incubator 11/21 at 11:55 AM,,Ani's lab,,,,,
GS,3011-99708,19-Apr-24,21-Nov-24,N,None,Chromo Plate,BPW tubes in incubator 11/21 at 11:55 AM,,Ani's lab,,,,,
GS,3011-99709,11-Jun-24,,N,None,Chromo Plate,"No growth, but quick test positive so re-streaked plate and back in incubator 10/22 at 1255",,Ani's lab,,,,,
GS,3011-99710,11-Jun-24,21-Oct-24,N,None,Chromo Plate,"No growth but quick test positive, BPW back in incubator 10/21 @ 1236; Re-streaked plate and back in incubator 10/22 at 1255",,Ani's lab,,,,,0.481481482
AF,3010-60003,13-Jun-24,,N,None,Chromo Plate,,,,,,,,
AF,3011-99713,13-Jun-24,,N,None,Chromo Plate,,,,,,,,
AF,3011-99715,14-Jun-24,,N,None,Chromo Plate,Ran out of Salm quik tests,,,,,,,
GS,3011-99714,14-Jun-24,21-Nov-24,N,None,Chromo Plate,BPW tubes in incubator 11/21 at 12:35 PM,,,,,,,
AF,3011-99722,19-Jun-24,,N,None,Chromo Plate,,,,,,,,
AF,3011-99729,15-Jul-24,,N,None,Chromo Plate,,,,,,,,
AF,3011-99728,15-Jul-24,,N,None,Chromo Plate,,,,,,,,
AF,3011-99727,15-Jul-24,,N,None,Chromo Plate,"**No picture of plate, but was no growth ",,,,,,,
GS,1352-66712,16-Jul-24,21-Nov-24,N,None,Chromo Plate,BPW tubes in incubator 11/21 at 11:55 AM,,,,,,,
KM,1352-66713,24-Jul-24,,N,None,Chromo Plate,,,,,,,,
GS,3011-99733,24-Jul-24,21-Nov-24,N,None,Chromo Plate,BPW tubes in incubator 11/21 at 11:55 AM,,,,,,,
KM,3011-99748,19-Aug-24,,N,None,Chromo Plate,,,,,,,,
AF,3011-99749,21-Aug-24,,N,None,Chromo Plate,,,,,,,,
AF,3011-99754,29-Aug-24,,N,None,Chromo Plate,,,,,,,,
GS,3011-99761,5-Feb-25,20-Feb-25,N,None,Chromo Plate,Plates in incubator 2/20 at 4:00 PM ,,,,,,,
GS,3011-99762,5-Feb-25,,N,None,Chromo Plate,,,,,,,,
KM,1352-66741,3-Jun-25,3-Jul-25,N,None,Chromo Plate,,,,,,,,
KM,3011-99787,10-Jun-25,3-Jul-25,N,None,Chromo Plate,,,,,,,,
KM,3171-38522,18-Jun-25,3-Jul-25,N,None,Chromo Plate,,,,,,,,
KM,3010-60026,23-Jun-25,3-Jul-25,N,None,Chromo Plate,,,,,,,,
KM,3171-38524,25-Jun-25,3-Jul-25,N,None,Chromo Plate,,,,,,,,
AF,1352-66701,12-May-23,,Y,,Salmonella QuikTest,Tested positive on both days. ,Poo tube mislabeled as 1352-66071,,,,,,
AF,1352-66702,12-May-23,,Y,,Salmonella QuikTest,Faint line 2x,,,,,,,
AF,1352-66703,12-May-23,,Y,,Salmonella QuikTest,Faint line x2,,,,,,,
GS,3011-99704,16-Apr-24,,Y,,Salmonella QuikTest,"Faint line? BPW back in incubator for another 24hrs, still a faint line on 2nd test",,,,,,,
GS,3011-99705,16-Apr-24,,N,,Salmonella QuikTest,"Faint line? BPW back in incubator for another 24hrs, no faint line on 2nd test",,,,,,,
GS,1352-66705,17-Apr-24,,N,,Salmonella QuikTest,"Faint line? Nothing on plate, so not retesting",,,,,,,
GS,1352-66709,11-Jun-24,,Y,,Salmonella QuikTest,Faint line 2x,,,,,,,
GS,3011-99709,11-Jun-24,,Y,,Salmonella QuikTest,Faint line 2x,,,,,,,
GS,3011-99710,11-Jun-24,,Y,,Salmonella QuikTest,Strong positive line,,,,,,,
AF,3011-99711,12-Jun-24,,Y,,Salmonella QuikTest,**Faint line; only 1 test ,,,,,,,
AF,3010-60003,13-Jun-24,,Y,,Salmonella QuikTest,**Faint line; only 1 test ,,,,,,,
AF,3011-99713,13-Jun-24,,N,,Salmonella QuikTest,,,,,,,,
AF,3011-99722,19-Jun-24,,N,,Salmonella QuikTest,,,,,,,,
AF,3011-99729,15-Jul-24,,N,,Salmonella QuikTest,,,,,,,,
AF,3011-99728,15-Jul-24,,N,,Salmonella QuikTest,Faint line?,,,,,,,
GS,3011-99723,15-Jul-24,,N,,Salmonella QuikTest,,,,,,,,
AF,3011-99727,15-Jul-24,,N,,Salmonella QuikTest,,,,,,,,
AF,3011-99726,15-Jul-24,,N,,Salmonella QuikTest,Faint line from first test-No line on second test after re-incubation,,,,,,,
KM,1352-66713,24-Jul-24,,N,,Salmonella QuikTest,,,,,,,,
KM,3011-99747,19-Aug-24,,N,,Salmonella QuikTest,,,,,,,,
KM,3011-99746,19-Aug-24,,N,,Salmonella QuikTest,,,,,,,,
KM,3011-99748,19-Aug-24,,N,,Salmonella QuikTest,,,,,,,,
KM,BRTH,19-Aug-24,,N,,Salmonella QuikTest,,,,,,,,
AF,3011-99749,21-Aug-24,,Y,,Salmonella QuikTest,Faint line? BPW back in incubator for another 24 hours with another faint line on day 2,,,,,,,
AF,Shadowwood Ln,3-Oct-24,,Y,,Salmonella QuikTest,Tested positive on both days. ,,,,,,,
AF,Lee Rd,16-Oct-24,,Y,,Salmonella QuikTest,Faint line appeared after re-incubation period. ,,,,,,,
GS,126 Alice St,24-Sep-24,3-Oct-24,Y,,Salmonella QuikTest,"Faint line? Retested 3-Oct.still had faint line. Put BPW back in incubator (3:45pm) for another 24 hrs. Restest 4-Oct and still has faint line. According to package instructions: ""A repeatedly faint line developing on the test line of the casette should be considered a positive test result""",,,,,,,
